rollout/ep_len_mean,train/actor_loss,train/n_updates,train/learning_rate,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/ent_coef_loss,time/total_timesteps,train/ent_coef,time/episodes,train/critic_loss
138.91,-4.4456892013549805,59168,0.0003,9.79586573,41,1427,-0.76280277967453,59269,0.002928832545876503,420,0.02530846744775772
139.17,-4.229442596435547,59699,0.0003,9.862970189999999,41,1439,-2.4268882274627686,59800,0.0028405662160366774,424,0.021156946197152138
138.88,-4.2957940101623535,60239,0.0003,9.916739790000001,41,1453,-1.1343876123428345,60340,0.0029161444399505854,428,0.02932296320796013
138.76,-4.251164436340332,60715,0.0003,10.00693852,41,1465,2.1036665439605713,60816,0.002979407086968422,432,0.03868909552693367
138.79,-4.487957000732422,61293,0.0003,9.867455049999997,41,1479,0.6373533606529236,61394,0.0029914886690676212,436,0.032914549112319946
138.83,-4.598142623901367,61882,0.0003,9.57735091,41,1492,-1.123355746269226,61983,0.003046334721148014,440,0.02779676392674446
138.38,-4.283378601074219,62445,0.0003,9.33371493,41,1505,1.49208402633667,62546,0.003012455068528652,444,0.0213550366461277
138.21,-4.254666805267334,63043,0.0003,9.04414817,41,1519,1.7954721450805664,63144,0.002956115175038576,448,0.0240147914737463
138.46,-4.449519634246826,63599,0.0003,8.89691739,41,1532,0.5788865685462952,63700,0.0030719072092324495,452,0.018119484186172485
138.49,-4.517688751220703,64207,0.0003,8.71403529,41,1546,-0.9899290800094604,64308,0.0030912254005670547,456,0.01976507157087326
139.07,-4.428515434265137,64821,0.0003,8.607099819999998,41,1560,-0.6423046588897705,64922,0.003103304887190461,460,0.022193152457475662
138.26,-4.440826892852783,65367,0.0003,8.44058562,41,1572,-0.37641674280166626,65468,0.0031804717145860195,464,0.13362374901771545
139.32,-4.271467685699463,65982,0.0003,8.33504446,41,1586,-1.523573398590088,66083,0.003145121270790696,468,0.02100018411874771
139.37,-4.449885845184326,66518,0.0003,8.32621983,41,1599,0.535347580909729,66619,0.003153616562485695,472,0.07040604948997498
139.61,-4.353860855102539,67158,0.0003,8.351736419999998,41,1614,0.030018895864486694,67259,0.0032515826169401407,476,0.027148820459842682
142.11,-4.335028648376465,67661,0.0003,8.51816397,41,1626,1.3253793716430664,67762,0.003244817489758134,480,0.033329516649246216
141.93,-4.645579814910889,68149,0.0003,8.385615699999999,41,1638,0.13690215349197388,68250,0.0032410782296210527,484,0.09907212853431702
142.66,-4.636231422424316,68765,0.0003,8.32818993,41,1652,-1.2861987352371216,68866,0.003355383174493909,488,0.22072520852088928
141.34,-4.445652008056641,69233,0.0003,7.942517669999998,41,1664,-1.3262042999267578,69334,0.0033390168100595474,492,0.07453589141368866
142.1,-4.387701034545898,69898,0.0003,7.6889345,41,1678,3.190046787261963,69999,0.0034656254574656487,496,0.061578378081321716
141.83,-4.441904544830322,70422,0.0003,7.535823640000001,41,1691,0.6080217957496643,70523,0.0033965755719691515,500,0.11522034555673599
142.38,-4.6233367919921875,71066,0.0003,7.320084069999999,41,1706,0.1862875521183014,71167,0.0032571612391620874,504,0.030749598518013954
141.62,-4.395806789398193,71561,0.0003,7.0881832,41,1718,0.3747033178806305,71662,0.003248184220865369,508,0.06742773950099945
141.7,-4.356810092926025,72168,0.0003,6.883380280000001,41,1732,0.4840173125267029,72269,0.003313884139060974,512,0.20515136420726776
141.47,-4.588096618652344,72699,0.0003,6.9218957,41,1746,0.45573046803474426,72800,0.003249020781368017,516,0.04262956976890564
141.73,-4.636321067810059,73341,0.0003,6.970324169999999,41,1761,1.0472867488861084,73442,0.0032627698965370655,520,0.034405335783958435
142.75,-4.24641752243042,73974,0.0003,7.216013549999999,41,1777,-1.7819372415542603,74075,0.00326419691555202,524,0.01796896383166313
142.2,-4.366890907287598,74459,0.0003,7.340989939999999,41,1791,-2.4668045043945312,74560,0.0031881576869636774,528,0.018442146480083466
143.75,-4.4468994140625,75090,0.0003,7.687519559999999,41,1805,-1.050105094909668,75191,0.003095682943239808,532,0.025616947561502457
143.23,-4.552755355834961,75616,0.0003,7.916340829999999,41,1818,-1.071800947189331,75717,0.0031513331923633814,536,0.018903639167547226
143.66,-4.371294975280762,76248,0.0003,8.38412578,41,1833,0.3677990436553955,76349,0.003016290022060275,540,0.14706000685691833
143.06,-4.395427703857422,76751,0.0003,8.65169811,41,1846,0.22404605150222778,76852,0.0030502635054290295,544,0.02322382852435112
143.15,-4.57694673538208,77358,0.0003,8.973982509999999,41,1860,1.350149154663086,77459,0.0031445289496332407,548,0.01826547086238861
143.0,-4.601774215698242,77899,0.0003,9.1988636,41,1873,1.1818833351135254,78000,0.0031633067410439253,552,0.020257331430912018
143.12,-4.426450729370117,78519,0.0003,9.566226120000001,41,1888,-0.5586345195770264,78620,0.0030570984818041325,556,0.18155395984649658
143.02,-4.562701225280762,79123,0.0003,9.881964,41,1901,0.29010024666786194,79224,0.0030752720776945353,560,0.018715592101216316
142.83,-4.597939491271973,79650,0.0003,10.11378811,41,1914,0.5428585410118103,79751,0.002982639241963625,564,0.020594177767634392
142.7,-4.433159828186035,80252,0.0003,10.441362719999999,41,1928,-0.40723827481269836,80353,0.002896682359278202,568,0.028460659086704254
142.83,-4.581591606140137,80801,0.0003,10.71573697,41,1941,0.06778934597969055,80902,0.002945680171251297,572,0.022013287991285324
142.53,-4.474598407745361,81411,0.0003,11.02560074,41,1957,-0.0706731379032135,81512,0.0029077965300530195,576,0.03228314220905304
142.92,-4.591670989990234,81953,0.0003,11.226592830000005,41,1971,1.2590664625167847,82054,0.0028581160586327314,580,0.07239842414855957
144.09,-4.730132102966309,82558,0.0003,11.622846840000001,41,1986,0.14670634269714355,82659,0.0027334264013916254,584,0.021719995886087418
143.34,-4.593440055847168,83099,0.0003,11.774490610000003,41,2000,-0.48747897148132324,83200,0.0027744430117309093,588,0.024165429174900055
144.76,-4.3397297859191895,83709,0.0003,12.210573129999998,41,2016,0.5970590114593506,83810,0.002760540693998337,592,0.023843517526984215
144.22,-4.509637832641602,84320,0.0003,12.50282694,41,2031,0.6540666818618774,84421,0.0027527036145329475,596,0.017061244696378708
144.36,-4.749956130981445,84858,0.0003,12.718740650000003,41,2045,1.800319790840149,84959,0.0027395032811909914,600,0.02410721220076084
144.09,-4.959516525268555,85475,0.0003,13.040687330000003,41,2061,-1.42610764503479,85576,0.0026716338470578194,604,0.02013746276497841
144.51,-4.8131327629089355,86012,0.0003,13.265365499999998,41,2074,0.30908748507499695,86113,0.0027092876844108105,608,0.025911372154951096
144.66,-4.635851860046387,86634,0.0003,13.563903989999996,41,2090,-1.1991562843322754,86735,0.002673177048563957,612,0.1446605771780014
144.57,-4.7509565353393555,87156,0.0003,13.74803883,41,2103,-2.3523359298706055,87257,0.002688657958060503,616,0.03230246156454086
144.25,-4.839479923248291,87766,0.0003,14.05060027,41,2119,-0.6035329103469849,87867,0.0025950430426746607,620,0.06283649057149887
143.25,-5.106938362121582,88299,0.0003,14.118673880000001,41,2132,-2.3373563289642334,88400,0.0026458497159183025,624,0.019803602248430252
144.6,-4.763966083526611,88919,0.0003,14.505678349999998,41,2148,-1.8638615608215332,89020,0.0027628305833786726,628,0.013759175315499306
144.42,-4.729988098144531,89532,0.0003,14.664942120000001,41,2164,0.36040663719177246,89633,0.0026150033809244633,632,0.22859415411949158
144.47,-4.852561950683594,90063,0.0003,14.8929552,41,2178,0.14029935002326965,90164,0.002561539178714156,636,0.023971740156412125
144.24,-4.807530403137207,90672,0.0003,14.94428602,41,2193,1.1754353046417236,90773,0.002614944940432906,640,0.015443431213498116
144.46,-4.909197807312012,91197,0.0003,15.005901960000001,41,2207,-0.1468270719051361,91298,0.0026836085598915815,644,0.017093811184167862
144.32,-5.009127616882324,91790,0.0003,15.08118201,41,2222,0.13214227557182312,91891,0.0025705841835588217,648,0.015925519168376923
143.58,-5.048731327056885,92257,0.0003,15.07916347,41,2233,-0.24008241295814514,92358,0.002515696221962571,652,0.06981028616428375
141.11,-4.8415350914001465,92630,0.0003,14.665326380000003,41,2243,-0.3935275375843048,92731,0.002514805179089308,656,0.02651054412126541
138.15,-4.749366760253906,92938,0.0003,14.23631721,41,2252,-2.034654378890991,93039,0.0025286164600402117,660,0.016001537442207336
137.37,-5.030918121337891,93387,0.0003,14.196960879999999,41,2263,1.4789326190948486,93488,0.0025192471221089363,664,0.027595916762948036
134.27,-4.787205219268799,93679,0.0003,13.673665729999998,41,2271,1.3647849559783936,93780,0.002493580337613821,668,0.15859189629554749
133.46,-4.88156795501709,94147,0.0003,13.48783996,41,2283,-1.611135482788086,94248,0.0025661371182650328,672,0.01945728063583374
131.68,-5.07454776763916,94579,0.0003,13.01402043,41,2294,-0.7093477845191956,94680,0.0025806378107517958,676,0.027446243911981583
128.46,-4.961465835571289,94799,0.0003,12.502494159999996,41,2301,0.4830615818500519,94900,0.0025829372461885214,680,0.05400029197335243
126.18,-5.1403398513793945,95176,0.0003,11.93981383,41,2311,0.8318033814430237,95277,0.002638906007632613,684,0.08403391391038895
123.91,-4.924415588378906,95490,0.0003,11.38371511,41,2320,0.8883395791053772,95591,0.0026100091636180878,688,0.02951410971581936
119.51,-4.982222557067871,95660,0.0003,10.717918339999999,41,2326,0.22347402572631836,95761,0.0026365616358816624,692,0.018721479922533035
115.08,-4.818196773529053,95828,0.0003,10.02226674,41,2332,1.481938362121582,95929,0.002646423876285553,696,0.01912809908390045
111.37,-4.866947174072266,95995,0.0003,9.486752619999999,41,2338,-0.157100647687912,96096,0.0026288223452866077,700,0.08338414877653122
106.64,-5.004786014556885,96139,0.0003,8.78339671,41,2343,-0.0448186993598938,96240,0.0026362610515207052,704,0.04063727706670761
103.94,-5.057063579559326,96406,0.0003,8.26757651,41,2351,-0.19632411003112793,96507,0.0027061195578426123,708,0.03344764932990074
100.38,-4.695255756378174,96672,0.0003,7.568375789999999,41,2359,0.3482523560523987,96773,0.002733528381213546,712,0.019889283925294876
98.05,-4.7807297706604,96961,0.0003,7.06162115,40,2367,1.7462948560714722,97062,0.0027555744163691998,716,0.02537672407925129
93.88,-4.630647659301758,97154,0.0003,6.32878715,40,2374,0.002555668354034424,97255,0.0027789606247097254,720,0.01867898926138878
90.9,-4.782430171966553,97389,0.0003,5.823890819999999,40,2381,-0.22095581889152527,97490,0.0027717004995793104,724,0.017070462927222252
87.63,-4.946766376495361,97682,0.0003,5.076398429999999,40,2389,-0.06690198183059692,97783,0.0028122144285589457,728,0.02462625689804554
86.86,-4.775859832763672,98218,0.0003,4.79170332,40,2403,-1.51530122756958,98319,0.0029162182472646236,732,0.01989227533340454
86.19,-5.045534133911133,98682,0.0003,4.3215765699999995,40,2415,0.9382781982421875,98783,0.0029255803674459457,736,0.1403248906135559
84.96,-4.69842529296875,99168,0.0003,4.04689459,40,2427,-0.48297828435897827,99269,0.002965181367471814,740,0.024227071553468704
86.2,-4.622435092926025,99817,0.0003,4.162354430000001,40,2442,0.5610299110412598,99918,0.003055603476241231,744,0.02873774617910385
