time/time_elapsed,train/ent_coef,train/n_updates,train/learning_rate,train/ent_coef_loss,train/actor_loss,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/critic_loss,time/total_timesteps
2528,0.02488568052649498,90468,0.0003,1.1008825302124023,-25.89373016357422,724,60.22223933000001,35,99.98,2.204831600189209,90569
2541,0.025011086836457253,90877,0.0003,1.371152400970459,-26.10001564025879,728,60.61004382,35,100.11,2.1682145595550537,90978
2553,0.024677466601133347,91263,0.0003,0.5916407108306885,-25.797401428222656,732,60.6860478,35,99.86,4.328164100646973,91364
2566,0.024873265996575356,91686,0.0003,-0.4901798963546753,-25.743465423583984,736,60.86789417,35,100.11,5.06300687789917,91787
2578,0.025937454774975777,92081,0.0003,0.0997820645570755,-26.150684356689453,740,61.021128399999995,35,100.14,2.398646354675293,92182
2590,0.025370726361870766,92471,0.0003,-1.0442105531692505,-25.5623779296875,744,60.94245976000001,35,99.91,0.3755801320075989,92572
2603,0.02545042708516121,92874,0.0003,0.1352447271347046,-26.818965911865234,748,61.06677537,35,100.01,4.562023639678955,92975
2615,0.02584507130086422,93272,0.0003,0.3304230570793152,-25.558141708374023,752,60.97124643,35,99.86,3.6864161491394043,93373
2627,0.02582707069814205,93688,0.0003,0.5608693361282349,-24.774444580078125,756,61.08799785,35,100.05,0.23409050703048706,93789
2640,0.025409838184714317,94085,0.0003,1.0044424533843994,-26.465023040771484,760,61.47917225000001,35,100.21,2.0378966331481934,94186
2652,0.02575833350419998,94480,0.0003,-0.621399998664856,-26.696136474609375,764,61.71870982,35,100.09,1.7561683654785156,94581
2665,0.026007726788520813,94899,0.0003,-0.023770272731781006,-25.819725036621094,768,62.10947526000001,35,100.28,3.1573352813720703,95000
2677,0.026655837893486023,95299,0.0003,0.7735204100608826,-26.56416893005371,772,62.7453427,35,100.25,2.7341151237487793,95400
2689,0.02676965482532978,95699,0.0003,-0.32529550790786743,-25.46645164489746,776,62.86376086,35,100.21,1.7037568092346191,95800
2701,0.026597730815410614,96099,0.0003,-0.2678282558917999,-26.79473876953125,780,63.04392328,35,100.08,1.7866816520690918,96200
2719,0.02645477093756199,96688,0.0003,-1.6133646965026855,-25.774333953857422,784,64.66028688,35,102.14,1.710024118423462,96789
2731,0.026486782357096672,97086,0.0003,-0.25493323802948,-26.100805282592773,788,64.9463302,35,102.01,1.0824637413024902,97187
2744,0.026617499068379402,97499,0.0003,0.7037360668182373,-26.879924774169922,792,65.11424015,35,102.19,0.7160744667053223,97600
2756,0.02687997743487358,97899,0.0003,0.7389413714408875,-27.817646026611328,796,65.42435062999999,35,102.25,0.2884407639503479,98000
2769,0.027550410479307175,98299,0.0003,0.9387926459312439,-25.86937141418457,800,65.84542959,35,102.2,1.7008167505264282,98400
2780,0.02770981751382351,98699,0.0003,0.030676603317260742,-26.900115966796875,804,66.11727395999999,35,102.3,5.573102951049805,98800
2796,0.02822219766676426,99283,0.0003,1.0470070838928223,-27.080078125,808,67.77989431,35,104.0,0.332902729511261,99384
2808,0.028366977348923683,99684,0.0003,1.026181936264038,-26.48558235168457,812,67.96139375,35,104.06,0.33000051975250244,99785
